Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
TCS,3.4,(1.1L),IT Services & Consulting | Bangalore / Bengaluru +435 other locations,9.6L Salaries,11.6k Interviews,1.5k Jobs
Accenture,3.7,(69.6k),IT Services & Consulting | Bangalore / Bengaluru +249 other locations,6.4L Salaries,9k Interviews,39.6k Jobs
Wipro,3.6,(62k),IT Services & Consulting | Hyderabad / Secunderabad +367 other locations,4.7L Salaries,6.4k Interviews,5k Jobs
Cognizant,3.7,(59k),IT Services & Consulting | Hyderabad / Secunderabad +228 other locations,5.9L Salaries,6.2k Interviews,846 Jobs
Capgemini,3.7,(50.5k),IT Services & Consulting | Bangalore / Bengaluru +183 other locations,4.7L Salaries,5.3k Interviews,2.2k Jobs
HDFC Bank,3.8,(49.2k),Banking | Mumbai +1801 other locations,1.5L Salaries,2.8k Interviews,187 Jobs
Infosys,3.5,(46.3k),IT Services & Consulting | Bangalore / Bengaluru +243 other locations,5.1L Salaries,8.2k Interviews,2.3k Jobs
ICICI Bank,4.0,(44.5k),Banking | Mumbai +1429 other locations,1.5L Salaries,2.8k Interviews,25 Jobs
HCLTech,3.4,(43.5k),IT Services & Consulting | Chennai +227 other locations,3.7L Salaries,4.4k Interviews,338 Jobs
Tech Mahindra,3.4,(41.6k),IT Services & Consulting | Hyderabad / Secunderabad +332 other locations,2.8L Salaries,4.4k Interviews,483 Jobs
Genpact,3.6,(39.9k),IT Services & Consulting | Hyderabad / Secunderabad +180 other locations,2.3L Salaries,3.7k Interviews,305 Jobs
Teleperformance,3.8,(35.8k),BPO | Mumbai +251 other locations,94.7k Salaries,2.1k Interviews,1.2k Jobs
Axis Bank,3.6,(31.6k),Banking | Mumbai +1488 other locations,1L Salaries,1.8k Interviews,5.3k Jobs
Concentrix Corporation,3.6,(30.9k),BPO | Bangalore / Bengaluru +175 other locations,1.3L Salaries,1.9k Interviews,89 Jobs
Jio,4.3,(30.9k),Telecom | Mumbai +1835 other locations,62.1k Salaries,3.3k Interviews,37 Jobs
Amazon,3.9,(30.1k),Internet | Bangalore / Bengaluru +517 other locations,1.4L Salaries,5.7k Interviews,1.3k Jobs
iEnergizer,4.6,(27.3k),BPO | Noida +50 other locations,23.9k Salaries,960 Interviews,58 Jobs
Reliance Retail,3.9,(26.5k),Retail | Mumbai +1136 other locations,74k Salaries,1.9k Interviews,55 Jobs
IBM,3.9,(25k),IT Services & Consulting | Bangalore / Bengaluru +160 other locations,2.1L Salaries,2.6k Interviews,2.7k Jobs
LTIMindtree,3.6,(24.6k),IT Services & Consulting | Bangalore / Bengaluru +143 other locations,1.9L Salaries,3.2k Interviews,369 Jobs
HDB Financial Services,3.9,(24.6k),NBFC | Mumbai +1077 other locations,50.1k Salaries,1k Interviews,210 Jobs
Larsen & Toubro Limited,3.9,(22.7k),Engineering & Construction | Chennai +745 other locations,73.4k Salaries,1.7k Interviews,880 Jobs
Deloitte,3.7,(21.9k),Management Consulting | Hyderabad / Secunderabad +183 other locations,2.4L Salaries,3.2k Interviews,1.6k Jobs
Kotak Mahindra Bank,3.6,(21.3k),Banking | Mumbai +673 other locations,85.4k Salaries,1.3k Interviews,1.5k Jobs
Reliance Industries,4.0,(19.4k),Oil & Gas | Jamnagar +802 other locations,71.9k Salaries,1.5k Interviews,66 Jobs
Vodafone Idea,3.9,(17.3k),Telecom | Pune +699 other locations,50.7k Salaries,650 Interviews,25 Jobs
BYJU'S,3.2,(16.6k),EdTech | Bangalore / Bengaluru +322 other locations,54k Salaries,2.1k Interviews,-- Jobs
Bharti Airtel,3.9,(16.5k),Telecom | Gurgaon / Gurugram +777 other locations,48.6k Salaries,1k Interviews,156 Jobs
WNS,3.3,(14.4k),IT Services & Consulting | Pune +64 other locations,68.8k Salaries,1.2k Interviews,91 Jobs
Tata Motors,4.1,(13.7k),Automobile | Pune +503 other locations,42.5k Salaries,1.2k Interviews,166 Jobs
AU Small Finance Bank,3.9,(13.7k),Banking | Jaipur +764 other locations,28.1k Salaries,644 Interviews,18 Jobs
Ernst & Young,3.4,(13.5k),Management Consulting | Bangalore / Bengaluru +130 other locations,1.4L Salaries,1.3k Interviews,762 Jobs
IndusInd Bank,3.4,(13.5k),Banking | Mumbai +785 other locations,51.3k Salaries,733 Interviews,156 Jobs
IDFC FIRST Bank,3.9,(13.4k),Banking | Mumbai +706 other locations,48.4k Salaries,868 Interviews,43 Jobs
Flipkart,3.9,(12.4k),Internet | Bangalore / Bengaluru +557 other locations,52.8k Salaries,1.6k Interviews,204 Jobs
Bajaj Finserv,3.9,(12.1k),Financial Services | Pune +1145 other locations,29.9k Salaries,681 Interviews,19 Jobs
PwC,3.3,(11.7k),Management Consulting | Bangalore / Bengaluru +129 other locations,1.1L Salaries,1.5k Interviews,1.2k Jobs
DXC Technology,3.6,(11.6k),IT Services & Consulting | Bangalore / Bengaluru +133 other locations,72.5k Salaries,876 Interviews,283 Jobs
Mahindra & Mahindra,4.0,(11.6k),Automobile | Pune +553 other locations,38.9k Salaries,812 Interviews,1 Jobs
Infosys BPM,3.5,(11.5k),BPO | Bangalore / Bengaluru +93 other locations,71.3k Salaries,1.1k Interviews,89 Jobs
HDFC Life,3.9,(11.4k),Insurance | Mumbai +692 other locations,32.4k Salaries,750 Interviews,110 Jobs
Muthoot FinCorp,4.5,(10.8k),NBFC | Bangalore / Bengaluru +1045 other locations,8.9k Salaries,1.6k Interviews,52 Jobs
Bandhan Bank,3.7,(10.3k),Banking | Kolkata +983 other locations,24.8k Salaries,699 Interviews,14 Jobs
Conneqt Business Solutions,3.5,(10k),BPO | Hyderabad / Secunderabad +260 other locations,26.4k Salaries,544 Interviews,400 Jobs
Mphasis,3.3,(9.8k),IT Services & Consulting | Bangalore / Bengaluru +61 other locations,72.4k Salaries,895 Interviews,38 Jobs
